,coef,std err,t,P>|t|,[0.025,0.975]
emotional_attachment_10,   31.4415,    8.611,    3.651, 0.000,   14.491,   48.392
emotional_attachment_11,   34.3161,   10.108,    3.395, 0.001,   14.418,   54.215
emotional_attachment_12,   36.3136,   10.215,    3.555, 0.000,   16.205,   56.422
emotional_attachment_13,   23.8353,   12.512,    1.905, 0.058,   -0.796,   48.466
emotional_attachment_14,   29.0772,   10.279,    2.829, 0.005,    8.842,   49.312
emotional_attachment_15,   26.2819,   11.974,    2.195, 0.029,    2.710,   49.854
emotional_attachment_16,   67.0869,   11.550,    5.808, 0.000,   44.350,   89.824
emotional_attachment_2,    8.2517,   27.821,    0.297, 0.767,  -46.515,   63.018
emotional_attachment_3,   24.0237,   27.671,    0.868, 0.386,  -30.448,   78.496
emotional_attachment_4,   33.2418,   18.631,    1.784, 0.075,   -3.434,   69.918
emotional_attachment_5,   25.3504,   14.317,    1.771, 0.078,   -2.833,   53.534
emotional_attachment_6,   38.3520,   11.127,    3.447, 0.001,   16.447,   60.257
emotional_attachment_7,   40.7752,   11.726,    3.477, 0.001,   17.692,   63.858
emotional_attachment_8,   33.3909,   10.364,    3.222, 0.001,   12.988,   53.794
emotional_attachment_9,   39.2267,    9.315,    4.211, 0.000,   20.890,   57.563
emotional_attachment_10,   31.4415,    8.611,    3.651, 0.000,   14.491,   48.392
emotional_attachment_11,   34.3161,   10.108,    3.395, 0.001,   14.418,   54.215
emotional_attachment_12,   36.3136,   10.215,    3.555, 0.000,   16.205,   56.422
emotional_attachment_13,   23.8353,   12.512,    1.905, 0.058,   -0.796,   48.466
emotional_attachment_14,   29.0772,   10.279,    2.829, 0.005,    8.842,   49.312
emotional_attachment_15,   26.2819,   11.974,    2.195, 0.029,    2.710,   49.854
emotional_attachment_16,   67.0869,   11.550,    5.808, 0.000,   44.350,   89.824
treatment_env x emotional_attachment_13,   19.9184,   35.226,    0.565, 0.572,  -49.426,   89.263
treatment_gov x emotional_attachment_13,    8.9226,   33.386,    0.267, 0.789,  -56.799,   74.644
phone_cost,    0.0723,    0.016,    4.419, 0.000,    0.040,    0.105
